	corpus	metric-entropy	n-dimension	pair-metric	radius-absolute	radius-relative	replicate	tool
0	text8	0.2997506465499086	50	cosine	0.050214840303126174	0.05	2	w2v
1	text8	0.29597243633484127	50	cosine	0.10042968060625235	0.1	2	w2v
2	text8	0.23893283462643314	50	cosine	0.2008593612125047	0.2	2	w2v
3	text8	0.11894412292451162	50	cosine	0.30128904181875704	0.3	2	w2v
4	text8	0.03609728154194782	50	cosine	0.4017187224250094	0.4	2	w2v
5	text8	0.008356710219279402	50	cosine	0.5021484030312617	0.5	2	w2v
6	text8	0.0019459678030781672	50	cosine	0.6025780836375141	0.6	2	w2v
0	text8	0.2984887442274056	50	cosine	0.05000861192447878	0.05	3	w2v
1	text8	0.29481022268267826	50	cosine	0.10001722384895756	0.1	3	w2v
2	text8	0.23932201114881443	50	cosine	0.20003444769791512	0.2	3	w2v
3	text8	0.12019160189756345	50	cosine	0.3000516715468726	0.3	3	w2v
4	text8	0.036688743388518144	50	cosine	0.40006889539583024	0.4	3	w2v
5	text8	0.00853567998120892	50	cosine	0.5000861192447877	0.5	3	w2v
6	text8	0.0019629966738111916	50	cosine	0.6001033430937452	0.6	3	w2v
0	text8	0.23397216893117131	100	cosine	0.04999182652915421	0.05	1	w2v
1	text8	0.23302935533888727	100	cosine	0.09998365305830842	0.1	1	w2v
2	text8	0.22220506688391894	100	cosine	0.19996730611661684	0.2	1	w2v
3	text8	0.17490670416020604	100	cosine	0.2999509591749252	0.3	1	w2v
4	text8	0.09625239809729048	100	cosine	0.3999346122332337	0.4	1	w2v
5	text8	0.03253856666053455	100	cosine	0.49991826529154204	0.5	1	w2v
6	text8	0.00709573992799138	100	cosine	0.5999019183498504	0.6	1	w2v
