	corpus	fractal-dimensions	n-dimension	radii	replicate	tool
0	master_noP_noLine_swap1176898_rep1	0.0	50	0.0	1	GloVe
1	master_noP_noLine_swap1176898_rep1	0.0	50	0.00025	1	GloVe
2	master_noP_noLine_swap1176898_rep1	0.0	50	0.0005	1	GloVe
3	master_noP_noLine_swap1176898_rep1	0.0	50	0.00075	1	GloVe
4	master_noP_noLine_swap1176898_rep1	0.0	50	0.001	1	GloVe
5	master_noP_noLine_swap1176898_rep1	0.0	50	0.00125	1	GloVe
6	master_noP_noLine_swap1176898_rep1	0.0	50	0.0015	1	GloVe
7	master_noP_noLine_swap1176898_rep1	0.0	50	0.00175	1	GloVe
8	master_noP_noLine_swap1176898_rep1	0.0	50	0.002	1	GloVe
9	master_noP_noLine_swap1176898_rep1	0.0	50	0.00225	1	GloVe
10	master_noP_noLine_swap1176898_rep1	0.0	50	0.0025	1	GloVe
11	master_noP_noLine_swap1176898_rep1	0.0	50	0.00275	1	GloVe
12	master_noP_noLine_swap1176898_rep1	0.0	50	0.003	1	GloVe
13	master_noP_noLine_swap1176898_rep1	0.0	50	0.00325	1	GloVe
14	master_noP_noLine_swap1176898_rep1	0.0	50	0.0035	1	GloVe
15	master_noP_noLine_swap1176898_rep1	0.0	50	0.00375	1	GloVe
16	master_noP_noLine_swap1176898_rep1	0.0	50	0.004	1	GloVe
17	master_noP_noLine_swap1176898_rep1	0.0	50	0.00425	1	GloVe
18	master_noP_noLine_swap1176898_rep1	0.0	50	0.0045	1	GloVe
19	master_noP_noLine_swap1176898_rep1	0.0	50	0.00475	1	GloVe
20	master_noP_noLine_swap1176898_rep1	0.0	50	0.005	1	GloVe
21	master_noP_noLine_swap1176898_rep1	0.0	50	0.00525	1	GloVe
22	master_noP_noLine_swap1176898_rep1	0.0	50	0.0055	1	GloVe
23	master_noP_noLine_swap1176898_rep1	0.0	50	0.00575	1	GloVe
24	master_noP_noLine_swap1176898_rep1	0.0	50	0.006	1	GloVe
25	master_noP_noLine_swap1176898_rep1	0.0	50	0.00625	1	GloVe
26	master_noP_noLine_swap1176898_rep1	0.0	50	0.0065	1	GloVe
27	master_noP_noLine_swap1176898_rep1	0.0	50	0.00675	1	GloVe
28	master_noP_noLine_swap1176898_rep1	0.0	50	0.007	1	GloVe
29	master_noP_noLine_swap1176898_rep1	0.0	50	0.00725	1	GloVe
30	master_noP_noLine_swap1176898_rep1	0.0	50	0.0075	1	GloVe
31	master_noP_noLine_swap1176898_rep1	0.0	50	0.00775	1	GloVe
32	master_noP_noLine_swap1176898_rep1	0.0	50	0.008	1	GloVe
33	master_noP_noLine_swap1176898_rep1	0.0	50	0.00825	1	GloVe
34	master_noP_noLine_swap1176898_rep1	0.0	50	0.0085	1	GloVe
