	corpus	fractal-dimensions	n-dimension	radii	replicate	tool
0	text8_swap11903646_rep0	0.0	50	0.0	1	GloVe
1	text8_swap11903646_rep0	0.0	50	0.00025	1	GloVe
2	text8_swap11903646_rep0	0.0	50	0.0005	1	GloVe
3	text8_swap11903646_rep0	0.0	50	0.00075	1	GloVe
4	text8_swap11903646_rep0	0.0	50	0.001	1	GloVe
5	text8_swap11903646_rep0	0.0	50	0.00125	1	GloVe
6	text8_swap11903646_rep0	0.0	50	0.0015	1	GloVe
7	text8_swap11903646_rep0	0.0	50	0.00175	1	GloVe
8	text8_swap11903646_rep0	0.0	50	0.002	1	GloVe
9	text8_swap11903646_rep0	0.0	50	0.00225	1	GloVe
10	text8_swap11903646_rep0	0.0	50	0.0025	1	GloVe
11	text8_swap11903646_rep0	0.0	50	0.00275	1	GloVe
12	text8_swap11903646_rep0	0.0	50	0.003	1	GloVe
13	text8_swap11903646_rep0	0.0	50	0.00325	1	GloVe
14	text8_swap11903646_rep0	0.0	50	0.0035	1	GloVe
15	text8_swap11903646_rep0	0.0	50	0.00375	1	GloVe
16	text8_swap11903646_rep0	0.0	50	0.004	1	GloVe
17	text8_swap11903646_rep0	0.0	50	0.00425	1	GloVe
18	text8_swap11903646_rep0	0.0	50	0.0045	1	GloVe
19	text8_swap11903646_rep0	0.0	50	0.00475	1	GloVe
20	text8_swap11903646_rep0	0.0	50	0.005	1	GloVe
21	text8_swap11903646_rep0	0.0	50	0.00525	1	GloVe
22	text8_swap11903646_rep0	0.0	50	0.0055	1	GloVe
23	text8_swap11903646_rep0	0.0	50	0.00575	1	GloVe
24	text8_swap11903646_rep0	0.0	50	0.006	1	GloVe
25	text8_swap11903646_rep0	0.0	50	0.00625	1	GloVe
26	text8_swap11903646_rep0	0.0	50	0.0065	1	GloVe
27	text8_swap11903646_rep0	0.0	50	0.00675	1	GloVe
28	text8_swap11903646_rep0	0.0	50	0.007	1	GloVe
29	text8_swap11903646_rep0	0.0	50	0.00725	1	GloVe
30	text8_swap11903646_rep0	0.0	50	0.0075	1	GloVe
31	text8_swap11903646_rep0	0.0	50	0.00775	1	GloVe
32	text8_swap11903646_rep0	0.0	50	0.008	1	GloVe
33	text8_swap11903646_rep0	0.0	50	0.00825	1	GloVe
34	text8_swap11903646_rep0	0.0	50	0.0085	1	GloVe
35	text8_swap11903646_rep0	0.198866920447	50	0.00875	1	GloVe
36	text8_swap11903646_rep0	0.203330424388	50	0.009	1	GloVe
37	text8_swap11903646_rep0	1.33021072155	50	0.00925	1	GloVe
38	text8_swap11903646_rep0	1.51785107572	50	0.0095	1	GloVe
39	text8_swap11903646_rep0	2.4663372665	50	0.00975	1	GloVe
40	text8_swap11903646_rep0	4.18836163142	50	0.01	1	GloVe
41	text8_swap11903646_rep0	5.66568259142	50	0.01025	1	GloVe
42	text8_swap11903646_rep0	8.68236909536	50	0.0105	1	GloVe
43	text8_swap11903646_rep0	10.2966763612	50	0.01075	1	GloVe
44	text8_swap11903646_rep0	13.5716875395	50	0.011	1	GloVe
45	text8_swap11903646_rep0	12.9964373301	50	0.01125	1	GloVe
46	text8_swap11903646_rep0	14.0349270632	50	0.0115	1	GloVe
47	text8_swap11903646_rep0	14.5151313095	50	0.01175	1	GloVe
48	text8_swap11903646_rep0	14.402862598	50	0.012	1	GloVe
49	text8_swap11903646_rep0	13.9840781539	50	0.01225	1	GloVe
50	text8_swap11903646_rep0	13.1837362113	50	0.0125	1	GloVe
51	text8_swap11903646_rep0	12.1463852094	50	0.01275	1	GloVe
52	text8_swap11903646_rep0	11.7755223686	50	0.013	1	GloVe
53	text8_swap11903646_rep0	10.5790861012	50	0.01325	1	GloVe
54	text8_swap11903646_rep0	10.2170219046	50	0.0135	1	GloVe
55	text8_swap11903646_rep0	9.4138102082	50	0.01375	1	GloVe
56	text8_swap11903646_rep0	8.51806893199	50	0.014	1	GloVe
57	text8_swap11903646_rep0	7.81923920759	50	0.01425	1	GloVe
58	text8_swap11903646_rep0	6.97021845451	50	0.0145	1	GloVe
59	text8_swap11903646_rep0	6.48210262754	50	0.01475	1	GloVe
60	text8_swap11903646_rep0	5.96953359369	50	0.015	1	GloVe
61	text8_swap11903646_rep0	5.69861403616	50	0.01525	1	GloVe
62	text8_swap11903646_rep0	5.27363554517	50	0.0155	1	GloVe
63	text8_swap11903646_rep0	4.70004829819	50	0.01575	1	GloVe
64	text8_swap11903646_rep0	4.4214560418	50	0.016	1	GloVe
65	text8_swap11903646_rep0	4.16412669456	50	0.01625	1	GloVe
66	text8_swap11903646_rep0	3.85448072959	50	0.0165	1	GloVe
67	text8_swap11903646_rep0	3.52664451055	50	0.01675	1	GloVe
68	text8_swap11903646_rep0	3.21274802616	50	0.017	1	GloVe
69	text8_swap11903646_rep0	2.98498615883	50	0.01725	1	GloVe
70	text8_swap11903646_rep0	2.65453461717	50	0.0175	1	GloVe
71	text8_swap11903646_rep0	2.37718354513	50	0.01775	1	GloVe
72	text8_swap11903646_rep0	2.06153013181	50	0.018	1	GloVe
73	text8_swap11903646_rep0	1.69660088431	50	0.01825	1	GloVe
74	text8_swap11903646_rep0	1.36491712035	50	0.0185	1	GloVe
75	text8_swap11903646_rep0	1.22541475022	50	0.01875	1	GloVe
76	text8_swap11903646_rep0	1.00675088597	50	0.019	1	GloVe
77	text8_swap11903646_rep0	0.802304053107	50	0.01925	1	GloVe
78	text8_swap11903646_rep0	0.628446521774	50	0.0195	1	GloVe
79	text8_swap11903646_rep0	0.482880353134	50	0.01975	1	GloVe
80	text8_swap11903646_rep0	0.381200338995	50	0.02	1	GloVe
81	text8_swap11903646_rep0	0.335329713582	50	0.02025	1	GloVe
82	text8_swap11903646_rep0	0.196192696242	50	0.0205	1	GloVe
83	text8_swap11903646_rep0	0.173214814746	50	0.02075	1	GloVe
84	text8_swap11903646_rep0	0.154576889704	50	0.021	1	GloVe
85	text8_swap11903646_rep0	0.106531804189	50	0.02125	1	GloVe
86	text8_swap11903646_rep0	0.0709620278108	50	0.0215	1	GloVe
87	text8_swap11903646_rep0	0.065542823993	50	0.02175	1	GloVe
88	text8_swap11903646_rep0	0.0549970861927	50	0.022	1	GloVe
89	text8_swap11903646_rep0	0.0505323290401	50	0.02225	1	GloVe
90	text8_swap11903646_rep0	0.0344741376788	50	0.0225	1	GloVe
91	text8_swap11903646_rep0	0.0374221492405	50	0.02275	1	GloVe
92	text8_swap11903646_rep0	0.024777534252	50	0.023	1	GloVe
93	text8_swap11903646_rep0	0.0263563380822	50	0.02325	1	GloVe
94	text8_swap11903646_rep0	0.0252993645967	50	0.0235	1	GloVe
95	text8_swap11903646_rep0	0.0161441083532	50	0.02375	1	GloVe
96	text8_swap11903646_rep0	0.0176694781812	50	0.024	1	GloVe
97	text8_swap11903646_rep0	0.0164764082003	50	0.02425	1	GloVe
98	text8_swap11903646_rep0	0.0124822042498	50	0.0245	1	GloVe
99	text8_swap11903646_rep0	0.00840506525871	50	0.02475	1	GloVe
100	text8_swap11903646_rep0	0.0127329650453	50	0.025	1	GloVe
101	text8_swap11903646_rep0	0.0200006827913	50	0.02525	1	GloVe
102	text8_swap11903646_rep0	0.0115397773194	50	0.0255	1	GloVe
103	text8_swap11903646_rep0	0.0131073396723	50	0.02575	1	GloVe
104	text8_swap11903646_rep0	0.0073514884303	50	0.026	1	GloVe
105	text8_swap11903646_rep0	0.00742131658302	50	0.02625	1	GloVe
106	text8_swap11903646_rep0	0.00898929865393	50	0.0265	1	GloVe
107	text8_swap11903646_rep0	0.0151211423197	50	0.02675	1	GloVe
108	text8_swap11903646_rep0	0.00915605333425	50	0.027	1	GloVe
109	text8_swap11903646_rep0	0.0169387855316	50	0.02725	1	GloVe
110	text8_swap11903646_rep0	0.00932260184599	50	0.0275	1	GloVe
111	text8_swap11903646_rep0	0.00470318761395	50	0.02775	1	GloVe
112	text8_swap11903646_rep0	0.0079085039333	50	0.028	1	GloVe
113	text8_swap11903646_rep0	0.00957382287744	50	0.02825	1	GloVe
114	text8_swap11903646_rep0	0.00482878192511	50	0.0285	1	GloVe
115	text8_swap11903646_rep0	0.00974129422808	50	0.02875	1	GloVe
