	corpus	fractal-dimensions	n-dimension	radii	replicate	tool
0	brown	0.0	50	0.0	1	GloVe
1	brown	0.0	50	0.00025	1	GloVe
2	brown	0.0	50	0.0005	1	GloVe
3	brown	0.0	50	0.00075	1	GloVe
4	brown	0.0	50	0.001	1	GloVe
5	brown	0.0	50	0.00125	1	GloVe
6	brown	0.0	50	0.0015	1	GloVe
7	brown	0.0	50	0.00175	1	GloVe
8	brown	0.0	50	0.002	1	GloVe
9	brown	0.0	50	0.00225	1	GloVe
10	brown	0.0	50	0.0025	1	GloVe
11	brown	0.0	50	0.00275	1	GloVe
12	brown	0.0	50	0.003	1	GloVe
13	brown	0.0	50	0.00325	1	GloVe
14	brown	0.0	50	0.0035	1	GloVe
15	brown	0.0	50	0.00375	1	GloVe
16	brown	0.0	50	0.004	1	GloVe
17	brown	0.0	50	0.00425	1	GloVe
18	brown	0.0	50	0.0045	1	GloVe
19	brown	0.0	50	0.00475	1	GloVe
20	brown	0.0	50	0.005	1	GloVe
21	brown	0.0	50	0.00525	1	GloVe
22	brown	0.0	50	0.0055	1	GloVe
23	brown	0.0	50	0.00575	1	GloVe
24	brown	0.0	50	0.006	1	GloVe
25	brown	0.0	50	0.00625	1	GloVe
26	brown	0.0	50	0.0065	1	GloVe
27	brown	0.0	50	0.00675	1	GloVe
28	brown	0.0	50	0.007	1	GloVe
29	brown	0.0	50	0.00725	1	GloVe
30	brown	0.0	50	0.0075	1	GloVe
31	brown	0.0	50	0.00775	1	GloVe
32	brown	0.0	50	0.008	1	GloVe
33	brown	0.0	50	0.00825	1	GloVe
34	brown	0.0	50	0.0085	1	GloVe
35	brown	0.0	50	0.00875	1	GloVe
36	brown	0.0	50	0.009	1	GloVe
37	brown	0.0	50	0.00925	1	GloVe
38	brown	0.0	50	0.0095	1	GloVe
39	brown	0.0	50	0.00975	1	GloVe
40	brown	0.0	50	0.01	1	GloVe
41	brown	0.0	50	0.01025	1	GloVe
42	brown	0.0	50	0.0105	1	GloVe
43	brown	0.0	50	0.01075	1	GloVe
44	brown	0.0	50	0.011	1	GloVe
45	brown	0.0	50	0.01125	1	GloVe
46	brown	0.678818009554	50	0.0115	1	GloVe
47	brown	0.0	50	0.01175	1	GloVe
48	brown	0.0	50	0.012	1	GloVe
49	brown	0.712218279756	50	0.01225	1	GloVe
50	brown	0.0	50	0.0125	1	GloVe
51	brown	0.0	50	0.01275	1	GloVe
52	brown	1.47892632399	50	0.013	1	GloVe
53	brown	2.18391311969	50	0.01325	1	GloVe
54	brown	0.721844604781	50	0.0135	1	GloVe
55	brown	3.53613202697	50	0.01375	1	GloVe
56	brown	2.05471825494	50	0.014	1	GloVe
57	brown	3.96699011881	50	0.01425	1	GloVe
58	brown	4.98161047813	50	0.0145	1	GloVe
59	brown	4.66895121248	50	0.01475	1	GloVe
60	brown	5.9733218606	50	0.015	1	GloVe
61	brown	9.70491611399	50	0.01525	1	GloVe
62	brown	6.08105220258	50	0.0155	1	GloVe
63	brown	8.63656811679	50	0.01575	1	GloVe
64	brown	6.38420037835	50	0.016	1	GloVe
65	brown	8.96011471958	50	0.01625	1	GloVe
66	brown	10.1205650008	50	0.0165	1	GloVe
67	brown	12.746212918	50	0.01675	1	GloVe
68	brown	13.6647784973	50	0.017	1	GloVe
69	brown	9.96997764314	50	0.01725	1	GloVe
70	brown	11.3761257663	50	0.0175	1	GloVe
71	brown	10.7808568986	50	0.01775	1	GloVe
72	brown	10.2441209752	50	0.018	1	GloVe
73	brown	9.38269331665	50	0.01825	1	GloVe
74	brown	9.03027543383	50	0.0185	1	GloVe
75	brown	9.99523757081	50	0.01875	1	GloVe
76	brown	8.46433825531	50	0.019	1	GloVe
77	brown	8.84229814082	50	0.01925	1	GloVe
78	brown	8.09493529634	50	0.0195	1	GloVe
79	brown	8.36459454709	50	0.01975	1	GloVe
80	brown	8.98101972171	50	0.02	1	GloVe
81	brown	7.18976460637	50	0.02025	1	GloVe
82	brown	6.76841699804	50	0.0205	1	GloVe
83	brown	7.60848461082	50	0.02075	1	GloVe
84	brown	7.22963266837	50	0.021	1	GloVe
85	brown	6.38121816441	50	0.02125	1	GloVe
86	brown	6.5887620625	50	0.0215	1	GloVe
87	brown	4.91899345873	50	0.02175	1	GloVe
88	brown	5.76689298313	50	0.022	1	GloVe
89	brown	5.52772809821	50	0.02225	1	GloVe
90	brown	5.2893236667	50	0.0225	1	GloVe
91	brown	5.31577355797	50	0.02275	1	GloVe
92	brown	4.08967697558	50	0.023	1	GloVe
93	brown	4.11553955543	50	0.02325	1	GloVe
94	brown	4.11411470353	50	0.0235	1	GloVe
95	brown	3.9002147086	50	0.02375	1	GloVe
96	brown	3.99019681451	50	0.024	1	GloVe
97	brown	3.95048508123	50	0.02425	1	GloVe
98	brown	3.08418199732	50	0.0245	1	GloVe
99	brown	3.07773735328	50	0.02475	1	GloVe
100	brown	3.01538976802	50	0.025	1	GloVe
101	brown	2.5734868552	50	0.02525	1	GloVe
102	brown	3.01971529422	50	0.0255	1	GloVe
103	brown	2.78586080147	50	0.02575	1	GloVe
