	corpus	fractal-dimensions	n-dimension	radii	replicate	tool
0	brown	0.0	50	0.0	2	Embeddings/w2v
1	brown	0.0	50	0.00025	2	Embeddings/w2v
2	brown	0.0	50	0.0005	2	Embeddings/w2v
3	brown	0.0	50	0.00075	2	Embeddings/w2v
4	brown	0.0	50	0.001	2	Embeddings/w2v
5	brown	0.0	50	0.00125	2	Embeddings/w2v
6	brown	0.0	50	0.0015	2	Embeddings/w2v
7	brown	0.0	50	0.00175	2	Embeddings/w2v
8	brown	0.0	50	0.002	2	Embeddings/w2v
9	brown	0.0	50	0.00225	2	Embeddings/w2v
10	brown	0.0	50	0.0025	2	Embeddings/w2v
11	brown	0.0	50	0.00275	2	Embeddings/w2v
12	brown	0.0	50	0.003	2	Embeddings/w2v
13	brown	0.0	50	0.00325	2	Embeddings/w2v
14	brown	0.0	50	0.0035	2	Embeddings/w2v
15	brown	0.0	50	0.00375	2	Embeddings/w2v
16	brown	0.0	50	0.004	2	Embeddings/w2v
17	brown	0.0	50	0.00425	2	Embeddings/w2v
18	brown	0.0	50	0.0045	2	Embeddings/w2v
19	brown	0.0	50	0.00475	2	Embeddings/w2v
20	brown	0.0	50	0.005	2	Embeddings/w2v
21	brown	0.0	50	0.00525	2	Embeddings/w2v
22	brown	0.0	50	0.0055	2	Embeddings/w2v
23	brown	0.0	50	0.00575	2	Embeddings/w2v
24	brown	0.0	50	0.006	2	Embeddings/w2v
25	brown	0.739087450041	50	0.00625	2	Embeddings/w2v
26	brown	1.1119193007	50	0.0065	2	Embeddings/w2v
27	brown	1.46685280066	50	0.00675	2	Embeddings/w2v
28	brown	3.47956980409	50	0.007	2	Embeddings/w2v
29	brown	4.40134421026	50	0.00725	2	Embeddings/w2v
30	brown	6.50181068717	50	0.0075	2	Embeddings/w2v
31	brown	10.5979852556	50	0.00775	2	Embeddings/w2v
32	brown	9.1626974287	50	0.008	2	Embeddings/w2v
33	brown	11.1883749178	50	0.00825	2	Embeddings/w2v
34	brown	11.7137894345	50	0.0085	2	Embeddings/w2v
35	brown	9.76058287037	50	0.00875	2	Embeddings/w2v
