	corpus	fractal-dimensions	n-dimension	radii	replicate	tool
0	hypercube	0.0	50	0.0	1	random
1	hypercube	0.0	50	0.00025	1	random
2	hypercube	0.0	50	0.0005	1	random
3	hypercube	0.0	50	0.00075	1	random
4	hypercube	0.0	50	0.001	1	random
5	hypercube	0.0	50	0.00125	1	random
6	hypercube	0.0	50	0.0015	1	random
7	hypercube	0.0	50	0.00175	1	random
8	hypercube	0.0	50	0.002	1	random
9	hypercube	0.0	50	0.00225	1	random
10	hypercube	0.0	50	0.0025	1	random
11	hypercube	0.0	50	0.00275	1	random
12	hypercube	0.0	50	0.003	1	random
13	hypercube	0.0	50	0.00325	1	random
14	hypercube	0.0	50	0.0035	1	random
15	hypercube	0.0	50	0.00375	1	random
16	hypercube	0.0	50	0.004	1	random
17	hypercube	0.0	50	0.00425	1	random
18	hypercube	0.0	50	0.0045	1	random
19	hypercube	0.0	50	0.00475	1	random
20	hypercube	0.0	50	0.005	1	random
21	hypercube	0.0	50	0.00525	1	random
22	hypercube	0.0	50	0.0055	1	random
23	hypercube	0.0	50	0.00575	1	random
24	hypercube	0.0	50	0.006	1	random
25	hypercube	0.0	50	0.00625	1	random
26	hypercube	0.0	50	0.0065	1	random
27	hypercube	0.0	50	0.00675	1	random
28	hypercube	0.0	50	0.007	1	random
29	hypercube	0.0	50	0.00725	1	random
30	hypercube	0.0	50	0.0075	1	random
31	hypercube	0.0	50	0.00775	1	random
32	hypercube	0.0	50	0.008	1	random
33	hypercube	0.0	50	0.00825	1	random
34	hypercube	0.0	50	0.0085	1	random
35	hypercube	0.0	50	0.00875	1	random
36	hypercube	0.0	50	0.009	1	random
37	hypercube	0.0	50	0.00925	1	random
38	hypercube	0.0	50	0.0095	1	random
39	hypercube	0.0	50	0.00975	1	random
40	hypercube	0.0	50	0.01	1	random
41	hypercube	0.0	50	0.01025	1	random
42	hypercube	0.0	50	0.0105	1	random
43	hypercube	0.0	50	0.01075	1	random
44	hypercube	0.0	50	0.011	1	random
45	hypercube	0.0	50	0.01125	1	random
46	hypercube	0.0	50	0.0115	1	random
47	hypercube	0.0	50	0.01175	1	random
48	hypercube	0.0	50	0.012	1	random
49	hypercube	0.0	50	0.01225	1	random
50	hypercube	0.0	50	0.0125	1	random
51	hypercube	0.0	50	0.01275	1	random
52	hypercube	0.0	50	0.013	1	random
53	hypercube	0.0	50	0.01325	1	random
54	hypercube	0.0	50	0.0135	1	random
55	hypercube	0.0	50	0.01375	1	random
56	hypercube	0.0	50	0.014	1	random
57	hypercube	0.0	50	0.01425	1	random
58	hypercube	0.166900471191	50	0.0145	1	random
59	hypercube	0.0	50	0.01475	1	random
60	hypercube	0.172115685262	50	0.015	1	random
61	hypercube	0.174464358034	50	0.01525	1	random
62	hypercube	0.528905836163	50	0.0155	1	random
63	hypercube	0.885630641283	50	0.01575	1	random
64	hypercube	2.96798785154	50	0.016	1	random
65	hypercube	4.35702006015	50	0.01625	1	random
66	hypercube	4.30201753707	50	0.0165	1	random
67	hypercube	9.75303072938	50	0.01675	1	random
68	hypercube	14.1198053032	50	0.017	1	random
69	hypercube	17.4786680723	50	0.01725	1	random
