	corpus	fractal-dimensions	n-dimension	radii	replicate	tool
0	master_noP_noLine_swap1176898_rep1	0.0	50	0.0	1	w2v
1	master_noP_noLine_swap1176898_rep1	0.0	50	0.00025	1	w2v
2	master_noP_noLine_swap1176898_rep1	0.0	50	0.0005	1	w2v
3	master_noP_noLine_swap1176898_rep1	0.0	50	0.00075	1	w2v
4	master_noP_noLine_swap1176898_rep1	0.0	50	0.001	1	w2v
5	master_noP_noLine_swap1176898_rep1	0.0	50	0.00125	1	w2v
6	master_noP_noLine_swap1176898_rep1	0.0	50	0.0015	1	w2v
7	master_noP_noLine_swap1176898_rep1	0.0	50	0.00175	1	w2v
8	master_noP_noLine_swap1176898_rep1	0.36653981301	50	0.002	1	w2v
9	master_noP_noLine_swap1176898_rep1	5.29232118011	50	0.00225	1	w2v
10	master_noP_noLine_swap1176898_rep1	10.2059616798	50	0.0025	1	w2v
11	master_noP_noLine_swap1176898_rep1	12.0390339418	50	0.00275	1	w2v
12	master_noP_noLine_swap1176898_rep1	9.69768892096	50	0.003	1	w2v
13	master_noP_noLine_swap1176898_rep1	6.22878054159	50	0.00325	1	w2v
14	master_noP_noLine_swap1176898_rep1	4.214623956	50	0.0035	1	w2v
15	master_noP_noLine_swap1176898_rep1	2.82680021682	50	0.00375	1	w2v
16	master_noP_noLine_swap1176898_rep1	2.16829290527	50	0.004	1	w2v
17	master_noP_noLine_swap1176898_rep1	2.15851875632	50	0.00425	1	w2v
18	master_noP_noLine_swap1176898_rep1	1.7055570391	50	0.0045	1	w2v
19	master_noP_noLine_swap1176898_rep1	1.74842337023	50	0.00475	1	w2v
20	master_noP_noLine_swap1176898_rep1	1.3780435257	50	0.005	1	w2v
21	master_noP_noLine_swap1176898_rep1	1.16725401919	50	0.00525	1	w2v
22	master_noP_noLine_swap1176898_rep1	0.985503360299	50	0.0055	1	w2v
23	master_noP_noLine_swap1176898_rep1	0.90250743366	50	0.00575	1	w2v
24	master_noP_noLine_swap1176898_rep1	0.833882036444	50	0.006	1	w2v
25	master_noP_noLine_swap1176898_rep1	0.773698743814	50	0.00625	1	w2v
26	master_noP_noLine_swap1176898_rep1	0.657238663491	50	0.0065	1	w2v
27	master_noP_noLine_swap1176898_rep1	0.630512029517	50	0.00675	1	w2v
28	master_noP_noLine_swap1176898_rep1	0.58292964801	50	0.007	1	w2v
29	master_noP_noLine_swap1176898_rep1	0.596449005451	50	0.00725	1	w2v
30	master_noP_noLine_swap1176898_rep1	0.586148542249	50	0.0075	1	w2v
31	master_noP_noLine_swap1176898_rep1	0.556826476678	50	0.00775	1	w2v
32	master_noP_noLine_swap1176898_rep1	0.524141650482	50	0.008	1	w2v
33	master_noP_noLine_swap1176898_rep1	0.501617670105	50	0.00825	1	w2v
34	master_noP_noLine_swap1176898_rep1	0.414457659205	50	0.0085	1	w2v
35	master_noP_noLine_swap1176898_rep1	0.421409662653	50	0.00875	1	w2v
36	master_noP_noLine_swap1176898_rep1	0.373507322605	50	0.009	1	w2v
37	master_noP_noLine_swap1176898_rep1	0.373994364597	50	0.00925	1	w2v
38	master_noP_noLine_swap1176898_rep1	0.218985433584	50	0.0095	1	w2v
39	master_noP_noLine_swap1176898_rep1	0.238658672967	50	0.00975	1	w2v
40	master_noP_noLine_swap1176898_rep1	0.205906320775	50	0.01	1	w2v
41	master_noP_noLine_swap1176898_rep1	0.206750856737	50	0.01025	1	w2v
42	master_noP_noLine_swap1176898_rep1	0.1621569395	50	0.0105	1	w2v
43	master_noP_noLine_swap1176898_rep1	0.168642295349	50	0.01075	1	w2v
44	master_noP_noLine_swap1176898_rep1	0.121376994638	50	0.011	1	w2v
45	master_noP_noLine_swap1176898_rep1	0.116900066345	50	0.01125	1	w2v
46	master_noP_noLine_swap1176898_rep1	0.0876498050867	50	0.0115	1	w2v
47	master_noP_noLine_swap1176898_rep1	0.0965084901516	50	0.01175	1	w2v
48	master_noP_noLine_swap1176898_rep1	0.0983405847018	50	0.012	1	w2v
49	master_noP_noLine_swap1176898_rep1	0.0593816569112	50	0.01225	1	w2v
50	master_noP_noLine_swap1176898_rep1	0.0378264810135	50	0.0125	1	w2v
51	master_noP_noLine_swap1176898_rep1	0.0616608701504	50	0.01275	1	w2v
52	master_noP_noLine_swap1176898_rep1	0.0667045207437	50	0.013	1	w2v
53	master_noP_noLine_swap1176898_rep1	0.0559147637789	50	0.01325	1	w2v
54	master_noP_noLine_swap1176898_rep1	0.036585705191	50	0.0135	1	w2v
55	master_noP_noLine_swap1176898_rep1	0.0579057273074	50	0.01375	1	w2v
56	master_noP_noLine_swap1176898_rep1	0.0378634159438	50	0.014	1	w2v
57	master_noP_noLine_swap1176898_rep1	0.0385077929531	50	0.01425	1	w2v
58	master_noP_noLine_swap1176898_rep1	0.0304532805967	50	0.0145	1	w2v
59	master_noP_noLine_swap1176898_rep1	0.0353789809225	50	0.01475	1	w2v
60	master_noP_noLine_swap1176898_rep1	0.035952235534	50	0.015	1	w2v
61	master_noP_noLine_swap1176898_rep1	0.0319603938102	50	0.01525	1	w2v
62	master_noP_noLine_swap1176898_rep1	0.0463708781058	50	0.0155	1	w2v
63	master_noP_noLine_swap1176898_rep1	0.0141270394685	50	0.01575	1	w2v
64	master_noP_noLine_swap1176898_rep1	0.033469807336	50	0.016	1	w2v
65	master_noP_noLine_swap1176898_rep1	0.0145612052285	50	0.01625	1	w2v
66	master_noP_noLine_swap1176898_rep1	0.0147802364413	50	0.0165	1	w2v
67	master_noP_noLine_swap1176898_rep1	0.0299950080839	50	0.01675	1	w2v
68	master_noP_noLine_swap1176898_rep1	0.030425874103	50	0.017	1	w2v
69	master_noP_noLine_swap1176898_rep1	0.0102869746995	50	0.01725	1	w2v
70	master_noP_noLine_swap1176898_rep1	0.0365103197342	50	0.0175	1	w2v
71	master_noP_noLine_swap1176898_rep1	0.026436988463	50	0.01775	1	w2v
72	master_noP_noLine_swap1176898_rep1	0.010719924692	50	0.018	1	w2v
73	master_noP_noLine_swap1176898_rep1	0.0108661836684	50	0.01825	1	w2v
74	master_noP_noLine_swap1176898_rep1	0.022023171077	50	0.0185	1	w2v
75	master_noP_noLine_swap1176898_rep1	0.0167347659411	50	0.01875	1	w2v
76	master_noP_noLine_swap1176898_rep1	0.0169526672523	50	0.019	1	w2v
77	master_noP_noLine_swap1176898_rep1	0.00572391334647	50	0.01925	1	w2v
78	master_noP_noLine_swap1176898_rep1	0.0173907481605	50	0.0195	1	w2v
79	master_noP_noLine_swap1176898_rep1	0.0410801812113	50	0.01975	1	w2v
80	master_noP_noLine_swap1176898_rep1	0.0237600251998	50	0.02	1	w2v
81	master_noP_noLine_swap1176898_rep1	0.0240480903176	50	0.02025	1	w2v
82	master_noP_noLine_swap1176898_rep1	0.0121688900418	50	0.0205	1	w2v
83	master_noP_noLine_swap1176898_rep1	0.0184711873304	50	0.02075	1	w2v
84	master_noP_noLine_swap1176898_rep1	0.0249167753512	50	0.021	1	w2v
85	master_noP_noLine_swap1176898_rep1	0.0315041181693	50	0.02125	1	w2v
86	master_noP_noLine_swap1176898_rep1	0.0191179217488	50	0.0215	1	w2v
87	master_noP_noLine_swap1176898_rep1	0.0128902545328	50	0.02175	1	w2v
88	master_noP_noLine_swap1176898_rep1	0.0130356545194	50	0.022	1	w2v
89	master_noP_noLine_swap1176898_rep1	0.0263600823328	50	0.02225	1	w2v
90	master_noP_noLine_swap1176898_rep1	0.0199858101991	50	0.0225	1	w2v
91	master_noP_noLine_swap1176898_rep1	0.00673455925274	50	0.02275	1	w2v
92	master_noP_noLine_swap1176898_rep1	0.00680766138979	50	0.023	1	w2v
93	master_noP_noLine_swap1176898_rep1	0.0137609991753	50	0.02325	1	w2v
94	master_noP_noLine_swap1176898_rep1	0.0	50	0.0235	1	w2v
95	master_noP_noLine_swap1176898_rep1	0.0140532893188	50	0.02375	1	w2v
96	master_noP_noLine_swap1176898_rep1	0.0212967528954	50	0.024	1	w2v
97	master_noP_noLine_swap1176898_rep1	0.0	50	0.02425	1	w2v
98	master_noP_noLine_swap1176898_rep1	0.00724498209075	50	0.0245	1	w2v
99	master_noP_noLine_swap1176898_rep1	0.0146354582118	50	0.02475	1	w2v
100	master_noP_noLine_swap1176898_rep1	0.0221697498911	50	0.025	1	w2v
101	master_noP_noLine_swap1176898_rep1	0.0074623518746	50	0.02525	1	w2v
102	master_noP_noLine_swap1176898_rep1	0.0226042975857	50	0.0255	1	w2v
103	master_noP_noLine_swap1176898_rep1	0.00760715849389	50	0.02575	1	w2v
104	master_noP_noLine_swap1176898_rep1	0.0	50	0.026	1	w2v
105	master_noP_noLine_swap1176898_rep1	0.00775358910473	50	0.02625	1	w2v
106	master_noP_noLine_swap1176898_rep1	0.0234778009231	50	0.0265	1	w2v
107	master_noP_noLine_swap1176898_rep1	0.0236930298432	50	0.02675	1	w2v
108	master_noP_noLine_swap1176898_rep1	0.0	50	0.027	1	w2v
109	master_noP_noLine_swap1176898_rep1	0.0080434303456	50	0.02725	1	w2v
110	master_noP_noLine_swap1176898_rep1	0.0	50	0.0275	1	w2v
111	master_noP_noLine_swap1176898_rep1	0.00818974274941	50	0.02775	1	w2v
112	master_noP_noLine_swap1176898_rep1	0.00826258744123	50	0.028	1	w2v
113	master_noP_noLine_swap1176898_rep1	0.00833542142495	50	0.02825	1	w2v
114	master_noP_noLine_swap1176898_rep1	0.0	50	0.0285	1	w2v
115	master_noP_noLine_swap1176898_rep1	0.0	50	0.02875	1	w2v
116	master_noP_noLine_swap1176898_rep1	0.0085551154574	50	0.029	1	w2v
117	master_noP_noLine_swap1176898_rep1	0.0086279172324	50	0.02925	1	w2v
118	master_noP_noLine_swap1176898_rep1	0.00870070830903	50	0.0295	1	w2v
119	master_noP_noLine_swap1176898_rep1	0.00877348868988	50	0.02975	1	w2v
120	master_noP_noLine_swap1176898_rep1	0.0	50	0.03	1	w2v
121	master_noP_noLine_swap1176898_rep1	0.0178386895234	50	0.03025	1	w2v
122	master_noP_noLine_swap1176898_rep1	0.00899176568283	50	0.0305	1	w2v
