	corpus	fractal-dimensions	n-dimension	radii	replicate	tool
0	text8_swap11903646_rep0	0.0	50	0.0	1	w2v
1	text8_swap11903646_rep0	0.0	50	0.00025	1	w2v
2	text8_swap11903646_rep0	0.0	50	0.0005	1	w2v
3	text8_swap11903646_rep0	0.0	50	0.00075	1	w2v
4	text8_swap11903646_rep0	0.0	50	0.001	1	w2v
5	text8_swap11903646_rep0	0.0	50	0.00125	1	w2v
6	text8_swap11903646_rep0	0.0	50	0.0015	1	w2v
7	text8_swap11903646_rep0	0.0	50	0.00175	1	w2v
8	text8_swap11903646_rep0	0.0	50	0.002	1	w2v
9	text8_swap11903646_rep0	0.0	50	0.00225	1	w2v
10	text8_swap11903646_rep0	0.0	50	0.0025	1	w2v
11	text8_swap11903646_rep0	0.0	50	0.00275	1	w2v
12	text8_swap11903646_rep0	0.139591736997	50	0.003	1	w2v
13	text8_swap11903646_rep0	1.42171634975	50	0.00325	1	w2v
14	text8_swap11903646_rep0	7.21437408663	50	0.0035	1	w2v
15	text8_swap11903646_rep0	15.5064905404	50	0.00375	1	w2v
16	text8_swap11903646_rep0	15.2023963596	50	0.004	1	w2v
17	text8_swap11903646_rep0	11.3860719593	50	0.00425	1	w2v
18	text8_swap11903646_rep0	7.92116585761	50	0.0045	1	w2v
19	text8_swap11903646_rep0	5.14577567906	50	0.00475	1	w2v
20	text8_swap11903646_rep0	3.60481336313	50	0.005	1	w2v
21	text8_swap11903646_rep0	2.75804620671	50	0.00525	1	w2v
22	text8_swap11903646_rep0	2.21047403699	50	0.0055	1	w2v
23	text8_swap11903646_rep0	1.86998765942	50	0.00575	1	w2v
24	text8_swap11903646_rep0	1.71594174824	50	0.006	1	w2v
25	text8_swap11903646_rep0	1.46156403887	50	0.00625	1	w2v
26	text8_swap11903646_rep0	1.32783026944	50	0.0065	1	w2v
27	text8_swap11903646_rep0	1.23892802822	50	0.00675	1	w2v
28	text8_swap11903646_rep0	1.22705700747	50	0.007	1	w2v
29	text8_swap11903646_rep0	1.13747525598	50	0.00725	1	w2v
30	text8_swap11903646_rep0	1.01172647331	50	0.0075	1	w2v
31	text8_swap11903646_rep0	1.01524962957	50	0.00775	1	w2v
32	text8_swap11903646_rep0	0.939813444613	50	0.008	1	w2v
33	text8_swap11903646_rep0	0.933669961979	50	0.00825	1	w2v
34	text8_swap11903646_rep0	0.839511215607	50	0.0085	1	w2v
35	text8_swap11903646_rep0	0.821157403754	50	0.00875	1	w2v
36	text8_swap11903646_rep0	0.779001974689	50	0.009	1	w2v
37	text8_swap11903646_rep0	0.763566795996	50	0.00925	1	w2v
38	text8_swap11903646_rep0	0.748900817391	50	0.0095	1	w2v
39	text8_swap11903646_rep0	0.680434035104	50	0.00975	1	w2v
40	text8_swap11903646_rep0	0.636536029311	50	0.01	1	w2v
41	text8_swap11903646_rep0	0.667044888816	50	0.01025	1	w2v
42	text8_swap11903646_rep0	0.63300874589	50	0.0105	1	w2v
