	corpus	fractal-dimensions	n-dimension	radii	replicate	tool
0	brown	0.0	50	0.0	1	w2v
1	brown	0.0	50	0.00025	1	w2v
2	brown	0.0	50	0.0005	1	w2v
3	brown	0.0	50	0.00075	1	w2v
4	brown	0.0	50	0.001	1	w2v
5	brown	0.0	50	0.00125	1	w2v
6	brown	0.0	50	0.0015	1	w2v
7	brown	0.0	50	0.00175	1	w2v
8	brown	0.0	50	0.002	1	w2v
9	brown	0.0	50	0.00225	1	w2v
10	brown	0.0	50	0.0025	1	w2v
11	brown	0.0	50	0.00275	1	w2v
12	brown	0.0	50	0.003	1	w2v
13	brown	0.0	50	0.00325	1	w2v
14	brown	0.0	50	0.0035	1	w2v
15	brown	0.0	50	0.00375	1	w2v
16	brown	0.0	50	0.004	1	w2v
17	brown	0.0	50	0.00425	1	w2v
18	brown	0.0	50	0.0045	1	w2v
19	brown	0.0	50	0.00475	1	w2v
20	brown	0.0	50	0.005	1	w2v
21	brown	0.0	50	0.00525	1	w2v
22	brown	0.328418910226	50	0.0055	1	w2v
23	brown	0.0	50	0.00575	1	w2v
24	brown	0.0	50	0.006	1	w2v
25	brown	0.0	50	0.00625	1	w2v
26	brown	1.49317559129	50	0.0065	1	w2v
27	brown	2.51782032114	50	0.00675	1	w2v
28	brown	4.59567062349	50	0.007	1	w2v
29	brown	7.44791169862	50	0.00725	1	w2v
30	brown	9.82631923812	50	0.0075	1	w2v
31	brown	9.1083406374	50	0.00775	1	w2v
32	brown	9.09289901821	50	0.008	1	w2v
33	brown	9.77827249837	50	0.00825	1	w2v
34	brown	11.3570420987	50	0.0085	1	w2v
35	brown	10.5018165903	50	0.00875	1	w2v
36	brown	10.0894382281	50	0.009	1	w2v
37	brown	9.122785696	50	0.00925	1	w2v
38	brown	8.31033178174	50	0.0095	1	w2v
39	brown	8.04712838585	50	0.00975	1	w2v
40	brown	6.61491637067	50	0.01	1	w2v
41	brown	6.16428152171	50	0.01025	1	w2v
42	brown	5.48075761313	50	0.0105	1	w2v
43	brown	4.58298058394	50	0.01075	1	w2v
44	brown	4.02967249581	50	0.011	1	w2v
45	brown	4.01194462061	50	0.01125	1	w2v
46	brown	3.52506132814	50	0.0115	1	w2v
47	brown	3.1148593424	50	0.01175	1	w2v
48	brown	3.11650375252	50	0.012	1	w2v
49	brown	2.65664477285	50	0.01225	1	w2v
50	brown	2.63868268189	50	0.0125	1	w2v
51	brown	2.01124416986	50	0.01275	1	w2v
52	brown	1.9914937105	50	0.013	1	w2v
53	brown	1.69443450926	50	0.01325	1	w2v
54	brown	1.69092187712	50	0.0135	1	w2v
55	brown	1.81071829034	50	0.01375	1	w2v
56	brown	1.64643114035	50	0.014	1	w2v
57	brown	1.49921343169	50	0.01425	1	w2v
58	brown	1.25566118233	50	0.0145	1	w2v
59	brown	1.3781415055	50	0.01475	1	w2v
60	brown	1.27640766557	50	0.015	1	w2v
61	brown	1.05931664459	50	0.01525	1	w2v
62	brown	1.25265683474	50	0.0155	1	w2v
63	brown	0.961281899503	50	0.01575	1	w2v
64	brown	1.12218850974	50	0.016	1	w2v
65	brown	0.976913730935	50	0.01625	1	w2v
66	brown	0.96881677052	50	0.0165	1	w2v
67	brown	0.859434908141	50	0.01675	1	w2v
68	brown	0.7848993684	50	0.017	1	w2v
69	brown	1.0082373175	50	0.01725	1	w2v
70	brown	0.948716359038	50	0.0175	1	w2v
71	brown	0.906901767053	50	0.01775	1	w2v
72	brown	0.805836835256	50	0.018	1	w2v
73	brown	0.705319283734	50	0.01825	1	w2v
74	brown	0.733899997832	50	0.0185	1	w2v
75	brown	0.753739001423	50	0.01875	1	w2v
76	brown	0.738873695412	50	0.019	1	w2v
77	brown	0.758730693124	50	0.01925	1	w2v
78	brown	0.68267987371	50	0.0195	1	w2v
79	brown	0.589111778208	50	0.01975	1	w2v
80	brown	0.74168705472	50	0.02	1	w2v
81	brown	0.770493219545	50	0.02025	1	w2v
82	brown	0.684200401959	50	0.0205	1	w2v
83	brown	0.562345075442	50	0.02075	1	w2v
84	brown	0.529494782791	50	0.021	1	w2v
85	brown	0.532424803002	50	0.02125	1	w2v
86	brown	0.508178764382	50	0.0215	1	w2v
87	brown	0.474646529633	50	0.02175	1	w2v
88	brown	0.523257198564	50	0.022	1	w2v
89	brown	0.452412824475	50	0.02225	1	w2v
90	brown	0.594047370713	50	0.0225	1	w2v
91	brown	0.55021785997	50	0.02275	1	w2v
92	brown	0.543562632822	50	0.023	1	w2v
93	brown	0.49926598532	50	0.02325	1	w2v
94	brown	0.483033377048	50	0.0235	1	w2v
95	brown	0.362100497771	50	0.02375	1	w2v
96	brown	0.354935342055	50	0.024	1	w2v
97	brown	0.56912845968	50	0.02425	1	w2v
98	brown	0.397585114048	50	0.0245	1	w2v
99	brown	0.458409930711	50	0.02475	1	w2v
100	brown	0.470677043243	50	0.025	1	w2v
101	brown	0.394440131018	50	0.02525	1	w2v
102	brown	0.396784341376	50	0.0255	1	w2v
103	brown	0.369230513482	50	0.02575	1	w2v
104	brown	0.501677403986	50	0.026	1	w2v
105	brown	0.423570669778	50	0.02625	1	w2v
106	brown	0.446113140038	50	0.0265	1	w2v
107	brown	0.407735079374	50	0.02675	1	w2v
108	brown	0.450885254624	50	0.027	1	w2v
109	brown	0.463435044297	50	0.02725	1	w2v
110	brown	0.362377800034	50	0.0275	1	w2v
111	brown	0.312468918032	50	0.02775	1	w2v
112	brown	0.27252233029	50	0.028	1	w2v
113	brown	0.337481804586	50	0.02825	1	w2v
114	brown	0.434734064875	50	0.0285	1	w2v
115	brown	0.351758491664	50	0.02875	1	w2v
116	brown	0.321614130885	50	0.029	1	w2v
117	brown	0.398832891416	50	0.02925	1	w2v
118	brown	0.411682008231	50	0.0295	1	w2v
119	brown	0.326739091583	50	0.02975	1	w2v
120	brown	0.273874631362	50	0.03	1	w2v
121	brown	0.220466970538	50	0.03025	1	w2v
122	brown	0.365885012103	50	0.0305	1	w2v
123	brown	0.356644811293	50	0.03075	1	w2v
124	brown	0.280164235995	50	0.031	1	w2v
125	brown	0.326806698716	50	0.03125	1	w2v
126	brown	0.396425712199	50	0.0315	1	w2v
127	brown	0.386948237527	50	0.03175	1	w2v
128	brown	0.331699965499	50	0.032	1	w2v
129	brown	0.230037109067	50	0.03225	1	w2v
130	brown	0.358499069382	50	0.0325	1	w2v
131	brown	0.290606452603	50	0.03275	1	w2v
132	brown	0.257144237684	50	0.033	1	w2v
133	brown	0.340754653831	50	0.03325	1	w2v
134	brown	0.177229410832	50	0.0335	1	w2v
135	brown	0.261444254924	50	0.03375	1	w2v
136	brown	0.346399861723	50	0.034	1	w2v
137	brown	0.288107793073	50	0.03425	1	w2v
138	brown	0.265486424665	50	0.0345	1	w2v
139	brown	0.315362665244	50	0.03475	1	w2v
140	brown	0.25601877399	50	0.035	1	w2v
141	brown	0.306342209003	50	0.03525	1	w2v
142	brown	0.234019577108	50	0.0355	1	w2v
143	brown	0.260018864433	50	0.03575	1	w2v
144	brown	0.224049456494	50	0.036	1	w2v
145	brown	0.362732480201	50	0.03625	1	w2v
146	brown	0.289015568876	50	0.0365	1	w2v
147	brown	0.265184621369	50	0.03675	1	w2v
148	brown	0.291859704555	50	0.037	1	w2v
149	brown	0.242290274308	50	0.03725	1	w2v
150	brown	0.26912668406	50	0.0375	1	w2v
151	brown	0.180341174191	50	0.03775	1	w2v
152	brown	0.233080640084	50	0.038	1	w2v
153	brown	0.234251018585	50	0.03825	1	w2v
154	brown	0.222348468481	50	0.0385	1	w2v
155	brown	0.35476677102	50	0.03875	1	w2v
156	brown	0.198008715442	50	0.039	1	w2v
157	brown	0.278560639326	50	0.03925	1	w2v
158	brown	0.253204746369	50	0.0395	1	w2v
159	brown	0.174104153307	50	0.03975	1	w2v
160	brown	0.201911563662	50	0.04	1	w2v
161	brown	0.202914317438	50	0.04025	1	w2v
162	brown	0.190328208866	50	0.0405	1	w2v
163	brown	0.122988464392	50	0.04075	1	w2v
164	brown	0.21975388545	50	0.041	1	w2v
165	brown	0.234584725986	50	0.04125	1	w2v
166	brown	0.194103860186	50	0.0415	1	w2v
167	brown	0.139339083392	50	0.04175	1	w2v
168	brown	0.19604365846	50	0.042	1	w2v
169	brown	0.225098981764	50	0.04225	1	w2v
170	brown	0.169623139084	50	0.0425	1	w2v
171	brown	0.198840038611	50	0.04275	1	w2v
172	brown	0.214028130655	50	0.043	1	w2v
173	brown	0.272291046194	50	0.04325	1	w2v
174	brown	0.187130873101	50	0.0435	1	w2v
175	brown	0.231358062891	50	0.04375	1	w2v
