	corpus	metric-entropy	n-dimension	pair-metric	radius-absolute	radius-relative	replicate	tool
0	text8	67633	50	euclidean	0.7787343430088263	0.00625	2	GloVe
1	text8	36437	50	euclidean	1.5574686860176525	0.0125	2	GloVe
2	text8	6255	50	euclidean	3.114937372035305	0.025	2	GloVe
3	text8	16	50	euclidean	6.22987474407061	0.05	2	GloVe
4	text8	1	50	euclidean	12.45974948814122	0.1	2	GloVe
5	text8	1	50	euclidean	24.91949897628244	0.2	2	GloVe
6	text8	1	50	euclidean	37.379248464423654	0.3	2	GloVe
7	text8	1	50	euclidean	49.83899795256488	0.4	2	GloVe
8	text8	1	50	euclidean	62.298747440706094	0.5	2	GloVe
9	text8	1	50	euclidean	74.75849692884731	0.6	2	GloVe
0	text8	67386	50	euclidean	0.7774035225417801	0.00625	3	GloVe
1	text8	36135	50	euclidean	1.5548070450835603	0.0125	3	GloVe
2	text8	6148	50	euclidean	3.1096140901671205	0.025	3	GloVe
3	text8	11	50	euclidean	6.219228180334241	0.05	3	GloVe
4	text8	1	50	euclidean	12.438456360668482	0.1	3	GloVe
5	text8	1	50	euclidean	24.876912721336964	0.2	3	GloVe
6	text8	1	50	euclidean	37.31536908200544	0.3	3	GloVe
7	text8	1	50	euclidean	49.75382544267393	0.4	3	GloVe
8	text8	1	50	euclidean	62.192281803342404	0.5	3	GloVe
9	text8	1	50	euclidean	74.63073816401088	0.6	3	GloVe
0	text8	67403	50	euclidean	0.7766669231799981	0.00625	1	GloVe
1	text8	36151	50	euclidean	1.5533338463599962	0.0125	1	GloVe
2	text8	6166	50	euclidean	3.1066676927199923	0.025	1	GloVe
3	text8	18	50	euclidean	6.213335385439985	0.05	1	GloVe
4	text8	1	50	euclidean	12.42667077087997	0.1	1	GloVe
5	text8	1	50	euclidean	24.85334154175994	0.2	1	GloVe
6	text8	1	50	euclidean	37.280012312639904	0.3	1	GloVe
7	text8	1	50	euclidean	49.70668308351988	0.4	1	GloVe
8	text8	1	50	euclidean	62.13335385439984	0.5	1	GloVe
9	text8	1	50	euclidean	74.56002462527981	0.6	1	GloVe
0	text8	71168	50	cosine	0.04984281186817359	0.05	1	GloVe
1	text8	70622	50	cosine	0.09968562373634718	0.1	1	GloVe
2	text8	59706	50	cosine	0.19937124747269436	0.2	1	GloVe
3	text8	36877	50	cosine	0.2990568712090415	0.3	1	GloVe
4	text8	14881	50	cosine	0.3987424949453887	0.4	1	GloVe
5	text8	3425	50	cosine	0.49842811868173587	0.5	1	GloVe
6	text8	681	50	cosine	0.598113742418083	0.6	1	GloVe
0	text8	71175	50	cosine	0.049855891147052446	0.05	2	GloVe
1	text8	70624	50	cosine	0.09971178229410489	0.1	2	GloVe
2	text8	60153	50	cosine	0.19942356458820978	0.2	2	GloVe
3	text8	37400	50	cosine	0.29913534688231463	0.3	2	GloVe
4	text8	15249	50	cosine	0.39884712917641957	0.4	2	GloVe
5	text8	3519	50	cosine	0.49855891147052445	0.5	2	GloVe
6	text8	701	50	cosine	0.5982706937646293	0.6	2	GloVe
0	text8	71170	50	cosine	0.04993269948792218	0.05	3	GloVe
1	text8	70586	50	cosine	0.09986539897584436	0.1	3	GloVe
2	text8	59692	50	cosine	0.19973079795168872	0.2	3	GloVe
3	text8	36784	50	cosine	0.29959619692753303	0.3	3	GloVe
4	text8	14796	50	cosine	0.39946159590337743	0.4	3	GloVe
5	text8	3389	50	cosine	0.4993269948792218	0.5	3	GloVe
6	text8	669	50	cosine	0.5991923938550661	0.6	3	GloVe
0	text8	66650	50	euclidean	0.7824136305349667	0.003125	2	w2v
0	text8	66709	50	euclidean	0.7806727670642597	0.003125	3	w2v
0	text8	71200	100	euclidean	0.6072371460013691	0.003125	1	w2v
0	text8	71223	100	cosine	0.04999182652915421	0.05	1	w2v
1	text8	70942	100	cosine	0.09998365305830842	0.1	1	w2v
2	text8	67656	100	cosine	0.19996730611661684	0.2	1	w2v
3	text8	53315	100	cosine	0.2999509591749252	0.3	1	w2v
4	text8	29250	100	cosine	0.3999346122332337	0.4	1	w2v
5	text8	9940	100	cosine	0.49991826529154204	0.5	1	w2v
6	text8	2195	100	cosine	0.5999019183498504	0.6	1	w2v
0	text8	71167	50	cosine	0.050214840303126174	0.05	2	w2v
1	text8	70262	50	cosine	0.10042968060625235	0.1	2	w2v
2	text8	56745	50	cosine	0.2008593612125047	0.2	2	w2v
3	text8	28202	50	cosine	0.30128904181875704	0.3	2	w2v
4	text8	8574	50	cosine	0.4017187224250094	0.4	2	w2v
5	text8	1983	50	cosine	0.5021484030312617	0.5	2	w2v
6	text8	455	50	cosine	0.6025780836375141	0.6	2	w2v
0	text8	71163	50	cosine	0.05000861192447878	0.05	3	w2v
1	text8	70289	50	cosine	0.10001722384895756	0.1	3	w2v
2	text8	57052	50	cosine	0.20003444769791512	0.2	3	w2v
3	text8	28688	50	cosine	0.3000516715468726	0.3	3	w2v
4	text8	8776	50	cosine	0.40006889539583024	0.4	3	w2v
5	text8	2051	50	cosine	0.5000861192447877	0.5	3	w2v
6	text8	468	50	cosine	0.6001033430937452	0.6	3	w2v
0	text8	37945	50	euclidean	1.5648272610699334	0.00625	2	w2v
1	text8	20128	50	euclidean	3.129654522139867	0.0125	2	w2v
2	text8	7848	50	euclidean	6.259309044279734	0.025	2	w2v
3	text8	411	50	euclidean	12.518618088559467	0.05	2	w2v
4	text8	1	50	euclidean	25.037236177118935	0.1	2	w2v
5	text8	1	50	euclidean	50.07447235423787	0.2	2	w2v
6	text8	1	50	euclidean	75.1117085313568	0.3	2	w2v
7	text8	1	50	euclidean	100.14894470847574	0.4	2	w2v
0	text8	38090	50	euclidean	1.5613455341285198	0.00625	3	w2v
1	text8	20136	50	euclidean	3.1226910682570397	0.0125	3	w2v
2	text8	7913	50	euclidean	6.245382136514079	0.025	3	w2v
3	text8	412	50	euclidean	12.490764273028159	0.05	3	w2v
4	text8	1	50	euclidean	24.981528546056317	0.1	3	w2v
5	text8	1	50	euclidean	49.963057092112635	0.2	3	w2v
6	text8	1	50	euclidean	74.94458563816895	0.3	3	w2v
7	text8	1	50	euclidean	99.92611418422527	0.4	3	w2v
0	text8	58175	100	euclidean	1.2144742920027383	0.00625	1	w2v
1	text8	31180	100	euclidean	2.4289485840054765	0.0125	1	w2v
2	text8	15398	100	euclidean	4.857897168010953	0.025	1	w2v
3	text8	4484	100	euclidean	9.715794336021906	0.05	1	w2v
4	text8	18	100	euclidean	19.431588672043812	0.1	1	w2v
5	text8	1	100	euclidean	38.863177344087624	0.2	1	w2v
6	text8	1	100	euclidean	58.294766016131426	0.3	1	w2v
7	text8	1	100	euclidean	77.72635468817525	0.4	1	w2v
0	text8_swap3401041	70990	50	euclidean	0.5097623577423519	0.003125	1	w2v
1	text8_swap3401041	41451	50	euclidean	1.0195247154847038	0.00625	1	w2v
