	corpus	metric-entropy	n-dimension	pair-metric	radius-absolute	radius-relative	replicate	tool
0	text8	71168	50	cosine	0.04984281186817359	0.05	1	GloVe
1	text8	70622	50	cosine	0.09968562373634718	0.1	1	GloVe
2	text8	59706	50	cosine	0.19937124747269436	0.2	1	GloVe
3	text8	36877	50	cosine	0.2990568712090415	0.3	1	GloVe
4	text8	14881	50	cosine	0.3987424949453887	0.4	1	GloVe
5	text8	3425	50	cosine	0.49842811868173587	0.5	1	GloVe
6	text8	681	50	cosine	0.598113742418083	0.6	1	GloVe
0	text8	71175	50	cosine	0.049855891147052446	0.05	2	GloVe
1	text8	70624	50	cosine	0.09971178229410489	0.1	2	GloVe
2	text8	60153	50	cosine	0.19942356458820978	0.2	2	GloVe
3	text8	37400	50	cosine	0.29913534688231463	0.3	2	GloVe
4	text8	15249	50	cosine	0.39884712917641957	0.4	2	GloVe
5	text8	3519	50	cosine	0.49855891147052445	0.5	2	GloVe
6	text8	701	50	cosine	0.5982706937646293	0.6	2	GloVe
0	text8	71170	50	cosine	0.04993269948792218	0.05	3	GloVe
1	text8	70586	50	cosine	0.09986539897584436	0.1	3	GloVe
2	text8	59692	50	cosine	0.19973079795168872	0.2	3	GloVe
3	text8	36784	50	cosine	0.29959619692753303	0.3	3	GloVe
4	text8	14796	50	cosine	0.39946159590337743	0.4	3	GloVe
5	text8	3389	50	cosine	0.4993269948792218	0.5	3	GloVe
6	text8	669	50	cosine	0.5991923938550661	0.6	3	GloVe
