	corpus	metric-entropy	n-dimension	pair-metric	radius-absolute	radius-relative	replicate	tool
0	text8	37945	50	euclidean	1.5648272610699334	0.00625	2	w2v
1	text8	20128	50	euclidean	3.129654522139867	0.0125	2	w2v
2	text8	7848	50	euclidean	6.259309044279734	0.025	2	w2v
3	text8	411	50	euclidean	12.518618088559467	0.05	2	w2v
4	text8	1	50	euclidean	25.037236177118935	0.1	2	w2v
5	text8	1	50	euclidean	50.07447235423787	0.2	2	w2v
6	text8	1	50	euclidean	75.1117085313568	0.3	2	w2v
7	text8	1	50	euclidean	100.14894470847574	0.4	2	w2v
0	text8	38090	50	euclidean	1.5613455341285198	0.00625	3	w2v
1	text8	20136	50	euclidean	3.1226910682570397	0.0125	3	w2v
2	text8	7913	50	euclidean	6.245382136514079	0.025	3	w2v
3	text8	412	50	euclidean	12.490764273028159	0.05	3	w2v
4	text8	1	50	euclidean	24.981528546056317	0.1	3	w2v
5	text8	1	50	euclidean	49.963057092112635	0.2	3	w2v
6	text8	1	50	euclidean	74.94458563816895	0.3	3	w2v
7	text8	1	50	euclidean	99.92611418422527	0.4	3	w2v
0	text8	58175	100	euclidean	1.2144742920027383	0.00625	1	w2v
1	text8	31180	100	euclidean	2.4289485840054765	0.0125	1	w2v
2	text8	15398	100	euclidean	4.857897168010953	0.025	1	w2v
3	text8	4484	100	euclidean	9.715794336021906	0.05	1	w2v
4	text8	18	100	euclidean	19.431588672043812	0.1	1	w2v
5	text8	1	100	euclidean	38.863177344087624	0.2	1	w2v
6	text8	1	100	euclidean	58.294766016131426	0.3	1	w2v
7	text8	1	100	euclidean	77.72635468817525	0.4	1	w2v
