	corpus	metric-entropy	n-dimension	pair-metric	radius-absolute	radius-relative	replicate	tool
0	text8	71223	100	cosine	0.04999182652915421	0.05	1	w2v
1	text8	70942	100	cosine	0.09998365305830842	0.1	1	w2v
2	text8	67656	100	cosine	0.19996730611661684	0.2	1	w2v
3	text8	53315	100	cosine	0.2999509591749252	0.3	1	w2v
4	text8	29250	100	cosine	0.3999346122332337	0.4	1	w2v
5	text8	9940	100	cosine	0.49991826529154204	0.5	1	w2v
6	text8	2195	100	cosine	0.5999019183498504	0.6	1	w2v
0	text8	71167	50	cosine	0.050214840303126174	0.05	2	w2v
1	text8	70262	50	cosine	0.10042968060625235	0.1	2	w2v
2	text8	56745	50	cosine	0.2008593612125047	0.2	2	w2v
3	text8	28202	50	cosine	0.30128904181875704	0.3	2	w2v
4	text8	8574	50	cosine	0.4017187224250094	0.4	2	w2v
5	text8	1983	50	cosine	0.5021484030312617	0.5	2	w2v
6	text8	455	50	cosine	0.6025780836375141	0.6	2	w2v
0	text8	71163	50	cosine	0.05000861192447878	0.05	3	w2v
1	text8	70289	50	cosine	0.10001722384895756	0.1	3	w2v
2	text8	57052	50	cosine	0.20003444769791512	0.2	3	w2v
3	text8	28688	50	cosine	0.3000516715468726	0.3	3	w2v
4	text8	8776	50	cosine	0.40006889539583024	0.4	3	w2v
5	text8	2051	50	cosine	0.5000861192447877	0.5	3	w2v
6	text8	468	50	cosine	0.6001033430937452	0.6	3	w2v
