	corpus	metric-entropy	n-dimension	pair-metric	radius-absolute	radius-relative	replicate	tool
0	text8_swap3401041	70990	50	euclidean	0.5097623577423519	0.003125	1	w2v
1	text8_swap3401041	41451	50	euclidean	1.0195247154847038	0.00625	1	w2v
2	text8_swap3401041	20585	50	euclidean	2.0390494309694076	0.0125	1	w2v
3	text8_swap3401041	8016	50	euclidean	4.078098861938815	0.025	1	w2v
4	text8_swap3401041	334	50	euclidean	8.15619772387763	0.05	1	w2v
5	text8_swap3401041	2	50	euclidean	16.31239544775526	0.1	1	w2v
6	text8_swap3401041	2	50	euclidean	32.62479089551052	0.2	1	w2v
7	text8_swap3401041	2	50	euclidean	48.93718634326577	0.3	1	w2v
8	text8_swap3401041	1	50	euclidean	65.24958179102104	0.4	1	w2v
0	text8_swap3401041	71013	50	euclidean	0.5088336055289785	0.003125	2	w2v
1	text8_swap3401041	41526	50	euclidean	1.017667211057957	0.00625	2	w2v
2	text8_swap3401041	20673	50	euclidean	2.035334422115914	0.0125	2	w2v
3	text8_swap3401041	8026	50	euclidean	4.070668844231828	0.025	2	w2v
4	text8_swap3401041	329	50	euclidean	8.141337688463656	0.05	2	w2v
5	text8_swap3401041	2	50	euclidean	16.282675376927312	0.1	2	w2v
6	text8_swap3401041	2	50	euclidean	32.565350753854624	0.2	2	w2v
7	text8_swap3401041	2	50	euclidean	48.848026130781925	0.3	2	w2v
8	text8_swap3401041	1	50	euclidean	65.13070150770925	0.4	2	w2v
0	text8_swap3401041	70942	50	euclidean	0.5101340904174164	0.003125	3	w2v
1	text8_swap3401041	41430	50	euclidean	1.0202681808348328	0.00625	3	w2v
2	text8_swap3401041	20606	50	euclidean	2.0405363616696657	0.0125	3	w2v
3	text8_swap3401041	7975	50	euclidean	4.081072723339331	0.025	3	w2v
4	text8_swap3401041	317	50	euclidean	8.162145446678663	0.05	3	w2v
5	text8_swap3401041	2	50	euclidean	16.324290893357325	0.1	3	w2v
6	text8_swap3401041	2	50	euclidean	32.64858178671465	0.2	3	w2v
7	text8_swap3401041	2	50	euclidean	48.972872680071966	0.3	3	w2v
8	text8_swap3401041	1	50	euclidean	65.2971635734293	0.4	3	w2v
0	text8_swap3401041	71013	50	euclidean	0.5096127727763284	0.003125	4	w2v
1	text8_swap3401041	41443	50	euclidean	1.0192255455526569	0.00625	4	w2v
2	text8_swap3401041	20585	50	euclidean	2.0384510911053138	0.0125	4	w2v
3	text8_swap3401041	7996	50	euclidean	4.0769021822106275	0.025	4	w2v
4	text8_swap3401041	336	50	euclidean	8.153804364421255	0.05	4	w2v
5	text8_swap3401041	2	50	euclidean	16.30760872884251	0.1	4	w2v
6	text8_swap3401041	2	50	euclidean	32.61521745768502	0.2	4	w2v
7	text8_swap3401041	2	50	euclidean	48.92282618652753	0.3	4	w2v
8	text8_swap3401041	1	50	euclidean	65.23043491537004	0.4	4	w2v
0	text8_swap3401041	70991	50	euclidean	0.5095629592174746	0.003125	5	w2v
1	text8_swap3401041	41442	50	euclidean	1.0191259184349493	0.00625	5	w2v
2	text8_swap3401041	20669	50	euclidean	2.0382518368698985	0.0125	5	w2v
3	text8_swap3401041	7999	50	euclidean	4.076503673739797	0.025	5	w2v
4	text8_swap3401041	326	50	euclidean	8.153007347479594	0.05	5	w2v
5	text8_swap3401041	2	50	euclidean	16.306014694959188	0.1	5	w2v
6	text8_swap3401041	2	50	euclidean	32.612029389918376	0.2	5	w2v
7	text8_swap3401041	2	50	euclidean	48.918044084877565	0.3	5	w2v
8	text8_swap3401041	1	50	euclidean	65.22405877983675	0.4	5	w2v
