	corpus	metric-entropy	n-dimension	pair-metric	radius-absolute	radius-relative	replicate	tool
0	text8	67633	50	euclidean	0.7787343430088263	0.00625	2	GloVe
1	text8	36437	50	euclidean	1.5574686860176525	0.0125	2	GloVe
2	text8	6255	50	euclidean	3.114937372035305	0.025	2	GloVe
3	text8	16	50	euclidean	6.22987474407061	0.05	2	GloVe
4	text8	1	50	euclidean	12.45974948814122	0.1	2	GloVe
5	text8	1	50	euclidean	24.91949897628244	0.2	2	GloVe
6	text8	1	50	euclidean	37.379248464423654	0.3	2	GloVe
7	text8	1	50	euclidean	49.83899795256488	0.4	2	GloVe
8	text8	1	50	euclidean	62.298747440706094	0.5	2	GloVe
9	text8	1	50	euclidean	74.75849692884731	0.6	2	GloVe
0	text8	67386	50	euclidean	0.7774035225417801	0.00625	3	GloVe
1	text8	36135	50	euclidean	1.5548070450835603	0.0125	3	GloVe
2	text8	6148	50	euclidean	3.1096140901671205	0.025	3	GloVe
3	text8	11	50	euclidean	6.219228180334241	0.05	3	GloVe
4	text8	1	50	euclidean	12.438456360668482	0.1	3	GloVe
5	text8	1	50	euclidean	24.876912721336964	0.2	3	GloVe
6	text8	1	50	euclidean	37.31536908200544	0.3	3	GloVe
7	text8	1	50	euclidean	49.75382544267393	0.4	3	GloVe
8	text8	1	50	euclidean	62.192281803342404	0.5	3	GloVe
9	text8	1	50	euclidean	74.63073816401088	0.6	3	GloVe
0	text8	67403	50	euclidean	0.7766669231799981	0.00625	1	GloVe
1	text8	36151	50	euclidean	1.5533338463599962	0.0125	1	GloVe
2	text8	6166	50	euclidean	3.1066676927199923	0.025	1	GloVe
3	text8	18	50	euclidean	6.213335385439985	0.05	1	GloVe
4	text8	1	50	euclidean	12.42667077087997	0.1	1	GloVe
5	text8	1	50	euclidean	24.85334154175994	0.2	1	GloVe
6	text8	1	50	euclidean	37.280012312639904	0.3	1	GloVe
7	text8	1	50	euclidean	49.70668308351988	0.4	1	GloVe
8	text8	1	50	euclidean	62.13335385439984	0.5	1	GloVe
9	text8	1	50	euclidean	74.56002462527981	0.6	1	GloVe
