	corpus	fractal-dimensions	n-dimension	radii	replicate	tool
0	brown	0.0	50	0.0	1	GloVe
1	brown	0.0	50	0.00025	1	GloVe
2	brown	0.0	50	0.0005	1	GloVe
3	brown	0.0	50	0.00075	1	GloVe
4	brown	0.0	50	0.001	1	GloVe
5	brown	0.0	50	0.00125	1	GloVe
6	brown	0.0	50	0.0015	1	GloVe
7	brown	0.0	50	0.00175	1	GloVe
8	brown	0.0	50	0.002	1	GloVe
9	brown	0.0	50	0.00225	1	GloVe
10	brown	0.0	50	0.0025	1	GloVe
11	brown	0.0	50	0.00275	1	GloVe
12	brown	0.0	50	0.003	1	GloVe
13	brown	0.0	50	0.00325	1	GloVe
14	brown	0.0	50	0.0035	1	GloVe
15	brown	0.0	50	0.00375	1	GloVe
16	brown	0.0	50	0.004	1	GloVe
17	brown	0.0	50	0.00425	1	GloVe
18	brown	0.0	50	0.0045	1	GloVe
19	brown	0.0	50	0.00475	1	GloVe
20	brown	0.0	50	0.005	1	GloVe
21	brown	0.0	50	0.00525	1	GloVe
22	brown	0.0	50	0.0055	1	GloVe
23	brown	0.0	50	0.00575	1	GloVe
24	brown	0.0	50	0.006	1	GloVe
25	brown	0.0	50	0.00625	1	GloVe
26	brown	0.0	50	0.0065	1	GloVe
27	brown	0.0	50	0.00675	1	GloVe
28	brown	0.0	50	0.007	1	GloVe
29	brown	0.0	50	0.00725	1	GloVe
30	brown	0.0	50	0.0075	1	GloVe
31	brown	0.0	50	0.00775	1	GloVe
32	brown	0.0	50	0.008	1	GloVe
33	brown	0.0	50	0.00825	1	GloVe
34	brown	0.0	50	0.0085	1	GloVe
35	brown	0.0	50	0.00875	1	GloVe
36	brown	0.0	50	0.009	1	GloVe
37	brown	0.0	50	0.00925	1	GloVe
38	brown	0.0	50	0.0095	1	GloVe
39	brown	0.0	50	0.00975	1	GloVe
40	brown	0.0	50	0.01	1	GloVe
41	brown	0.0	50	0.01025	1	GloVe
42	brown	0.0	50	0.0105	1	GloVe
43	brown	0.0	50	0.01075	1	GloVe
44	brown	0.0	50	0.011	1	GloVe
45	brown	0.0	50	0.01125	1	GloVe
46	brown	0.0	50	0.0115	1	GloVe
47	brown	0.0	50	0.01175	1	GloVe
48	brown	0.0	50	0.012	1	GloVe
49	brown	0.0	50	0.01225	1	GloVe
50	brown	1.46382277663	50	0.0125	1	GloVe
51	brown	0.0	50	0.01275	1	GloVe
52	brown	0.744670821239	50	0.013	1	GloVe
53	brown	0.0	50	0.01325	1	GloVe
54	brown	0.762228801452	50	0.0135	1	GloVe
55	brown	0.765508667202	50	0.01375	1	GloVe
56	brown	3.01396922682	50	0.014	1	GloVe
57	brown	2.91194123888	50	0.01425	1	GloVe
58	brown	3.50395595584	50	0.0145	1	GloVe
59	brown	2.70494758358	50	0.01475	1	GloVe
60	brown	11.0302030498	50	0.015	1	GloVe
61	brown	6.98989407343	50	0.01525	1	GloVe
62	brown	6.37794232914	50	0.0155	1	GloVe
63	brown	10.8623650464	50	0.01575	1	GloVe
64	brown	11.1481381134	50	0.016	1	GloVe
65	brown	11.1281707502	50	0.01625	1	GloVe
66	brown	11.1773603453	50	0.0165	1	GloVe
67	brown	11.8806188606	50	0.01675	1	GloVe
68	brown	10.9913044485	50	0.017	1	GloVe
69	brown	13.57070261	50	0.01725	1	GloVe
70	brown	11.7771155026	50	0.0175	1	GloVe
71	brown	9.88191528476	50	0.01775	1	GloVe
72	brown	8.69691245721	50	0.018	1	GloVe
73	brown	9.5743441258	50	0.01825	1	GloVe
74	brown	8.83786581882	50	0.0185	1	GloVe
75	brown	9.97476051719	50	0.01875	1	GloVe
76	brown	8.11296535725	50	0.019	1	GloVe
77	brown	9.41125089099	50	0.01925	1	GloVe
78	brown	8.77669721754	50	0.0195	1	GloVe
79	brown	7.89243090675	50	0.01975	1	GloVe
80	brown	7.41025044495	50	0.02	1	GloVe
81	brown	7.5213505578	50	0.02025	1	GloVe
82	brown	6.44489113287	50	0.0205	1	GloVe
83	brown	6.88514427211	50	0.02075	1	GloVe
84	brown	7.07164766599	50	0.021	1	GloVe
85	brown	5.94149100074	50	0.02125	1	GloVe
86	brown	6.4030752277	50	0.0215	1	GloVe
87	brown	6.00106790097	50	0.02175	1	GloVe
88	brown	5.42825795926	50	0.022	1	GloVe
89	brown	4.85089042595	50	0.02225	1	GloVe
90	brown	4.6786113309	50	0.0225	1	GloVe
91	brown	4.59686927131	50	0.02275	1	GloVe
92	brown	4.06601080574	50	0.023	1	GloVe
93	brown	4.3771015933	50	0.02325	1	GloVe
94	brown	3.55344795677	50	0.0235	1	GloVe
95	brown	4.09471841126	50	0.02375	1	GloVe
96	brown	3.48035502998	50	0.024	1	GloVe
97	brown	2.99956035779	50	0.02425	1	GloVe
98	brown	3.91411582291	50	0.0245	1	GloVe
99	brown	2.97454509511	50	0.02475	1	GloVe
100	brown	3.15008497696	50	0.025	1	GloVe
101	brown	2.97073154527	50	0.02525	1	GloVe
102	brown	2.67181878019	50	0.0255	1	GloVe
103	brown	3.03363778603	50	0.02575	1	GloVe
