	corpus	metric-entropy	n-dimension	pair-metric	radius-absolute	radius-relative	replicate	tool
0	brown	0.668398876404	100	euclidean	1.01818652556	0.025	1	w2v
1	brown	0.250983146067	100	euclidean	2.03637305113	0.05	1	w2v
2	brown	0.0668539325843	100	euclidean	4.07274610225	0.1	1	w2v
3	brown	0.0133426966292	100	euclidean	8.1454922045	0.2	1	w2v
4	brown	0.000421348314607	100	euclidean	16.290984409	0.4	1	w2v
0	brown	0.814207650273	50	euclidean	0.865437776852	0.025	2	GloVe
1	brown	0.172725112853	50	euclidean	1.7308755537	0.05	2	GloVe
2	brown	0.011760513186	50	euclidean	3.46175110741	0.1	2	GloVe
3	brown	0.00118793062485	50	euclidean	6.92350221482	0.2	2	GloVe
4	brown	0.000118793062485	50	euclidean	13.8470044296	0.4	2	GloVe
0	brown	0.813267233239	50	euclidean	0.865091779136	0.025	3	GloVe
1	brown	0.173630783758	50	euclidean	1.73018355827	0.05	3	GloVe
2	brown	0.011567516525	50	euclidean	3.46036711654	0.1	3	GloVe
3	brown	0.0014164305949	50	euclidean	6.92073423309	0.2	3	GloVe
4	brown	0.000118035882908	50	euclidean	13.8414684662	0.4	3	GloVe
0	brown	0.718146718147	50	euclidean	1.44646497847	0.025	1	w2v
1	brown	0.22249034749	50	euclidean	2.89292995694	0.05	1	w2v
2	brown	0.0523648648649	50	euclidean	5.78585991388	0.1	1	w2v
3	brown	0.00675675675676	50	euclidean	11.5717198278	0.2	1	w2v
4	brown	0.000241312741313	50	euclidean	23.1434396555	0.4	1	w2v
0	brown	0.810938794838	50	euclidean	0.867332224859	0.025	1	GloVe
1	brown	0.176393986031	50	euclidean	1.73466444972	0.05	1	GloVe
2	brown	0.0114833668758	50	euclidean	3.46932889943	0.1	1	GloVe
3	brown	0.00106546702971	50	euclidean	6.93865779887	0.2	1	GloVe
4	brown	0.000118385225524	50	euclidean	13.8773155977	0.4	1	GloVe
0	brown	0.718235995232	50	euclidean	1.43984173355	0.025	2	w2v
1	brown	0.221454112038	50	euclidean	2.8796834671	0.05	2	w2v
2	brown	0.053873659118	50	euclidean	5.75936693419	0.1	2	w2v
3	brown	0.0061978545888	50	euclidean	11.5187338684	0.2	2	w2v
4	brown	0.000238379022646	50	euclidean	23.0374677368	0.4	2	w2v
